location,imageurl
Media Resources Center,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FMedia_Resources_Center.jpg?alt=media&token=47d6def5-ea08-444e-8889-a8b90812e2a8
Memorial Stadium,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FStadium_Fitness_Center.jpg?alt=media&token=906f0ef5-86d5-494d-b5c4-22993bc15948
Moffitt Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FMoffitt_Library.jpg?alt=media&token=21164f21-7622-4c48-baff-dfe089b16631
Moffitt Library 5th Floor,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FMoffitt_Library.jpg?alt=media&token=21164f21-7622-4c48-baff-dfe089b16631
Morrison Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FMorrison_Library.jpg?alt=media&token=3097ead5-0b4c-4e55-9136-282e3fefaa39
Music Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FMusic_Library.jpg?alt=media&token=55c96f60-cde1-41a8-9449-6551894099d9
Newspapers & Microforms Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FNewspapers_Microforms_Library.jpg?alt=media&token=78776d67-2c33-4452-917b-7dd4e18a4d88
Northern Regional Library Facility,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FNorthern_Regional_Library_Facility.jpg?alt=media&token=85b695e7-6be2-4125-8fa1-0c4e513b6cc3
Office for the Prevention of Harassment & Discrimination,
Office of the Registrar,
Ombuds office,
Optometry and Health Sciences Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FOptometry_and_Health_Sciences_Library.jpg?alt=media&token=d34632b6-b86f-4cdf-9194-44a9857eab02
Path to Care (Confidential Care Advocates),
Physics-Astronomy Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FPhysics_Astronomy_Library.jpg?alt=media&token=12edc75e-cf52-4b1b-b7a9-8dbe766feacc
Privileges Desk,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FPrivileges_Desk.jpg?alt=media&token=16c76227-7749-4489-8f15-ca1d7420d806
Qualcomm Caf�,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2Fba8441de0e0aa39dced9185f7eaafd7875153f24-640x360.jpg?alt=media&token=7c3b6164-0164-46ae-9c2a-cdd04174ebfb
Recreational Sports Facility,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FRSF.jpg?alt=media&token=e0fa3925-cd42-4098-93a0-6dc2d7b247e5
Robbins Collection Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FRobbins_Collection_Library.jpg?alt=media&token=6cc15f60-430a-4274-a03c-93b405cc9c9c
RSF,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FRSF.jpg?alt=media&token=e0fa3925-cd42-4098-93a0-6dc2d7b247e5
SCRA Pool,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FAnthropology_Library.jpg?alt=media&token=6c431bb2-d284-4efe-bf59-f4dba195136b
Social Research Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FSocial_Research_Library.jpg?alt=media&token=c86285ed-7b3f-454c-99db-cf0b4c4d4ba3
South/Southeast Asia Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FSouth_Southeast_Asia_Library.jpg?alt=media&token=8db9b470-b85b-4850-9341-f79cce7dc852
Spieker Pool,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FSpieker-Pool.jpg?alt=media&token=4124639c-33fa-4e7c-910f-7d494d185308
Student Advocates Office,
Student Legal Services,
Suicide Prevention Resource Center,
Tang Center,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2Ftang%20center.jpg?alt=media&token=f749c3c0-bd6b-45b8-a977-deffcea3cad6
The Center for Student Conduct,
The Den,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FThe_Den.jpg?alt=media&token=819bdcd8-9a35-4d7a-96f7-eb52297eb5d7
The Golden Bear Caf�,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FGolden_Bear_Cafe.jpg?alt=media&token=8d0aaea2-7db9-42c6-8108-ec95eb51573e
Tolman Hall,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FTolman_Hall%2C_University_of_California%2C_Berkeley_Graduate_School_of_Education.jpg?alt=media&token=f65383cb-773d-4563-ad04-01089169d18a
Tolman Hall Tech Lounge,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FTolman_Hall%2C_University_of_California%2C_Berkeley_Graduate_School_of_Education.jpg?alt=media&token=f65383cb-773d-4563-ad04-01089169d18a
UC Berkeley Food Pantry,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2Ffood%20pantry.jpg?alt=media&token=907a8c8a-8a4d-4a5d-8f49-d770430be8ab
Food Pantry,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2Ffood%20pantry.jpg?alt=media&token=907a8c8a-8a4d-4a5d-8f49-d770430be8ab
UCPD,
University Village,
Wurster Library,https://firebasestorage.googleapis.com/v0/b/berkeley-mobile.appspot.com/o/images%2FEnvironmental_Design_Library.jpg?alt=media&token=d06681ea-4caa-406f-b5a7-6e206e9f0d1d
