ID,Lat,Long,LayerName,Name,Manager,Contact,Contact(NOHTML),Website,Acreage,Date,Hours,Photo
11,37.865125,-122.260232,Campus Gardens,Fenwick Weavers' Village,Berkeley Student Cooperative,"Landscape Manager, <a href='mailto:rocland@bsc.coop'>rocland@bsc.coop</a>","Landscape Manager, rocland@bsc.coop",https://www.bsc.coop/,<.25,1981,Coop residents (UCB exclusive during academic year) and guests only.,
12,37.864575,-122.265032,Campus Gardens,Garden Village,"UCB Student Housing, Top Leaf Farms, Bluma Flower Farms","<a href='http://www.topleaffarms.com/index.html'>Top Leaf Farms</a>, <a href='https://housing.berkeley.edu/garden-village'>UCB Housing</a>, <a href='http://blumaflowerfarm.com/'>Bluma Flower Farms</a>","Top Leaf Farms, UCB Housing, Bluma Flower Farms",https://housing.berkeley.edu/garden-village,0.275,2016,Varies depending on plot owned by different businesses.,https://drive.google.com/open?id=1qdHXmupB6dTxZy8N0ytXmexReTYO55PD
13,37.86959,-122.258123,Campus Gardens,Little Medinical Garden,"Started by students, no coordinator at this time",N/A,N/A,,<.25,2020,N/A,
14,37.867903,-122.249523,Campus Gardens,Lothlorien,Berkeley Student Cooperative,"House Manager, <a href='mailto:lothm@bsc.coop'>lothm@bsc.coop</a>","House Manager, lothm@bsc.coop",https://www.bsc.coop/,<.25,1971,Coop residents and guests only.,
15,37.869409,-122.259738,Campus Gardens,Multicultural Community Center Garden,Division of Equity and Inclusion,<a href='mailto:mcc.community@berkeley.edu'>mcc.community@berkeley.edu</a>,mcc.community@berkeley.edu,https://campusclimate.berkeley.edu/students/ejce/mcc/programs/garden,<.25,2017,Open for visitors 24-7; contact MCC for specific workdays.,
16,37.876408,-122.267206,Campus Gardens,Oxford Tract,College of Natural Resources,"Christina Wistrom, <a href='mailto:cwistrom@berkeley.edu'>cwistrom@berkeley.edu</a>","Christina Wistrom, cwistrom@berkeley.edu",https://nature.berkeley.edu/oxford-facility/,0.53,1964,"Open for researchers, courses, or specific workdays (often Fridays, see site for more details).",
17,37.873359,-122.264898,Campus Gardens,Pat Brown Container Garden,Cal Dining,"Sandra Jacquez, <a href='mailto:jacquez@berkeley.edu'>jacquez@berkeley.edu</a>","Sandra Jacquez, jacquez@berkeley.edu",https://caldining.berkeley.edu/locations/on-campus-retail/browns,<.25,2019,N/A,
18,37.865865,-122.257876,Campus Gardens,People’s Park Community Garden,Ecology Center & Facilities Services,"Darin Bauer, <a href='mailto:darinallenbauer@yahoo.com'>darinallenbauer@yahoo.com</a>","Darin Bauer, darinallenbauer@yahoo.com",https://ecologycenter.org/bcgc/,<.25,1969,"Open for visitors 24-7, contact Ecology Center for specific events.",
19,37.865605,-122.259789,Campus Gardens,Rochdale Village Apartments,Berkeley Student Cooperative,"Landscape Manager, <a href='mailto:rocland@bsc.coop'>rocland@bsc.coop</a>","Landscape Manager, rocland@bsc.coop",https://www.bsc.coop/,<.25,1971,Coop residents (UCB exclusive during academic year) and guests only.,
20,37.8767,-122.2676,Campus Gardens,Student Organic Garden Association,College of Natural Resources,<a href='mailto:studentorganicfarm@gmail.com'>studentorganicfarm@gmail.com</a>,studentorganicfarm@gmail.com,https://www.ocf.berkeley.edu/~soga/wordpress/,0.5,1971,Sun 10am-2pm,https://drive.google.com/open?id=1I2NvnF5yV-3R1xS8CFM0LZaONEWSELMO
21,37.884001,-122.298801,Campus Gardens,The UC Village Kids Garden,UC Village,"Center Director Iris Bradford, <a href='mailto:ivbradford@berkeley.edu'>ivbradford@berkeley.edu</a>","Center Director Iris Bradford, ivbradford@berkeley.edu",https://ece.berkeley.edu/content/locations,<.25,1999,"Used by Early Childhood Education Program children, teachers, and parents. Not in use at the moment.",
22,37.88362236,-122.3054856,Campus Gardens,The University Village Community Garden,UC Village,N/A,N/A,http://www.ucvillagegarden.net/,~ 2,1970,"See website for work parties, workshops, and other events. Not in use until Spring 2020",https://drive.google.com/open?id=15-YTsj_Mu4YMIT9UGTtQi0peho86g80R
23,37.875163,-122.238594,Campus Gardens,UC Berkeley Botanical Garden,College of Natural Resources,"Visitor Experience Coordinator Megan Peterson, (510) 664-9807 or <a href='mailto:meganpeterson@berkeley.edu'>meganpeterson@berkeley.edu</a>","Visitor Experience Coordinator Megan Peterson, (510) 664-9807 or meganpeterson@berkeley.edu",http://botanicalgarden.berkeley.edu/,34,1920,Daily: 9am-5pm (No entry after 4:30pm),https://drive.google.com/open?id=1lYDEJDLfuji-OKMLjU1q7qoK1gVHzlex
24,37.8864,-122.2982,Campus Gardens,UC Gill Tract Community Farm,"UC Berkeley in conjuction with community members; Gill Tract Farm Coalition: of Black Eath Farms, Place Makers, and Sogorea Te' Land Trust","<a href='mailto:contact@gilltractfarm.org'>contact@gilltractfarm.org</a>, <a href='mailto:sogoreatelandtrust@gmail.com'>sogoreatelandtrust@gmail.com</a>, or email on webpage","contact@gilltractfarm.org, sogoreatelandtrust@gmail.com, or email on webpage",1) http://ucgilltractfarm.wixsite.com/gilltract 2)https://sogoreate-landtrust.com/our-vision/ 3) https://www.blackearthfarms.com/ ,1.5,2013,"Sun 12-5pm, Mon 11am-2pm, Tue 2-5pm, Wed 11am-2pm, Thu 2-5pm",https://drive.google.com/open?id=14I8iufUhdTcPQPNP81O6GDXIWKDHrVRT
