ID,LayerName,Name,Type,Notes,Notes(NOHTML),ZIndex,LinkNotes,Link,Lat,Long
17,Self-Service Facilities,Stanley Hall Lactation Room,lactation,"See building manager for access: Geoff Bingaman, <a href='mailto:gbingaman@berkeley.edu'>gbingaman@berkeley.edu</a> or (510) 666-3306","See building manager for access: Geoff Bingaman, gbingaman@berkeley.edu or (510) 666-3306",500,,,37.874108,-122.256191
18,Self-Service Facilities,Tang Center Lactation Room,lactation,,,500,Sign up for access,https://uhs.berkeley.edu/facstaff/wellness/breastfeeding-support,37.867649,-122.264661
19,Self-Service Facilities,UC Berkeley Extension Lactation Room,lactation,See building manager for access,See building manager for access,500,,,37.872015,-122.271301
20,Self-Service Facilities,University Hall Lactation Room,lactation,,,500,Sign up for access,https://uhs.berkeley.edu/facstaff/wellness/breastfeeding-support,37.871906,-122.266304
21,Self-Service Facilities,Valley Life Sciences Building Lactation Room,lactation,"See building manager for access: Igor Kligman, <a href='mailto:ikligman@berkeley.edu'>ikligman@berkeley.edu</a> or (510) 333-9523","See building manager for access: Igor Kligman, ikligman@berkeley.edu or (510) 333-9523",500,,,37.871354,-122.262628
22,Self-Service Facilities,Warren Hall Lactation Room,lactation,,,500,Sign up for access,https://uhs.berkeley.edu/facstaff/wellness/breastfeeding-support,37.874395,-122.266994
23,Self-Service Facilities,Wheeler Hall,lactation,,,500,Sign up for access,https://uhs.berkeley.edu/facstaff/wellness/breastfeeding-support,37.871401,-122.259085
24,Self-Service Facilities,Common Grounds Microwave,microwave,Top floor of Dwinelle Hall,Top floor of Dwinelle Hall,400,,,37.8706313,-122.2607799
25,Self-Service Facilities,Cory Hall Microwave,microwave,In TeaOne Cafe,In TeaOne Cafe,400,,,37.875139,-122.257422
26,Self-Service Facilities,Davis Hall Microwave,microwave,In room 602,In room 602,400,,,37.8746332,-122.2581178
27,Self-Service Facilities,Foothill Student Housing 6 Microwave,microwave,In dining hall TV room,In dining hall TV room,400,,,37.8753488,-122.2549742
28,Self-Service Facilities,Golden Bear Cafe Microwave,microwave,Inside Golden Bear Cafe,Inside Golden Bear Cafe,400,,,37.869847,-122.259739
29,Self-Service Facilities,Haas School of Business Microwave,microwave,In room F371,In room F371,400,,,37.8716225,-122.2535004
30,Self-Service Facilities,Le Conte Hall Microwaves,microwave,In lounge/break area next to room 402,In lounge/break area next to room 402,400,,,37.872817,-122.257466
31,Self-Service Facilities,Soda Hall Microwave,microwave,"In room 311 CSUA (Computer Science Undergraduate Association), room 562 Cafe Diem, room 678 kitchen, and room 728 kitchen","In room 311 CSUA (Computer Science Undergraduate Association), room 562 Cafe Diem, room 678 kitchen, and room 728 kitchen",400,,,37.8756495,-122.2586918
32,Self-Service Facilities,Basic Needs Center Microwave,microwave,"Basement of MLK Jr. Student Union (bNorth), in kitchen. Need Cal1 ID","Basement of MLK Jr. Student Union (bNorth), in kitchen. Need Cal1 ID",400,,,37.8692299,-122.2596788
33,Self-Service Facilities,Terrace Cafe Microwave,microwave,Inside Terrace Cafe,Inside Terrace Cafe,400,,,37.874203,-122.25842
34,Self-Service Facilities,The Pro Shop Microwave,microwave,Inside the Pro Shop at Recreational Sports Facility,Inside the Pro Shop at Recreational Sports Facility,400,,,37.868745,-122.2626574
35,Self-Service Facilities,Transfer Center Microwave,microwave,Next to Cal 1 Card Office,Next to Cal 1 Card Office,400,,,37.8696978,-122.2602582
36,Self-Service Facilities,Valley Life Sciences Building Microwave,microwave,In Micro Yali's cafe; pay 50 cents to use,In Micro Yali's cafe; pay 50 cents to use,400,,,37.871513,-122.261768
37,Self-Service Facilities,Center for the Study of Law and Society,refill,"(By floor):
<br><b>1 –</b> Brita water dispenser by the kitchen, between fridge and sink","(By floor):
1 – Brita water dispenser by the kitchen, between fridge and sink",300,,,37.870349,-122.252811
38,Self-Service Facilities,2515 Channing Way (Academic Achievement Program),refill,"(By floor):
<br><b>1 –</b> Motion-sensor filler/fountain in lobby area","(By floor):
1 – Motion-sensor filler/fountain in lobby area",300,,,37.8718992,-122.2585399
39,Self-Service Facilities,2521 Channing Way,refill,"(By floor):
<br><b>1 –</b> Gooseneck filter and sink by the hallway underneath the spiral staircase to the kitchen","(By floor):
1 – Gooseneck filter and sink by the hallway underneath the spiral staircase to the kitchen",300,,,37.8672348,-122.2578788
40,Self-Service Facilities,Alumni House,refill,"(By floor):
<br><b>1 –</b> Fountain to the right of entrance ","(By floor):
1 – Fountain to the right of entrance ",300,,,37.8696964,-122.2611015
41,Self-Service Facilities,Andersen Auditorium,refill,"(By floor):
<br><b>1 –</b> Gooseneck filler/fountain directly to the right of the auditorium doors that face the center Haas courtyard","(By floor):
1 – Gooseneck filler/fountain directly to the right of the auditorium doors that face the center Haas courtyard",300,,,37.8721306,-122.2538182
42,Self-Service Facilities,Archaeological Research Facility,refill,"(By floor):
<br><b>2 –</b> Hot/cold water dispenser inside room 201, by the door","(By floor):
2 – Hot/cold water dispenser inside room 201, by the door",300,,,37.8701625,-122.253912
43,Self-Service Facilities,Architects and Engineers,refill,"(By floor):
<br><b>1 –</b> Fountain to the left of the entrance in the hallway","(By floor):
1 – Fountain to the left of the entrance in the hallway",300,,,37.8736168,-122.2688665
44,Self-Service Facilities,Bancroft Dance Studio,refill,"(By floor):
<br><b>1 –</b> Fountain just inside entrance","(By floor):
1 – Fountain just inside entrance",300,,,37.8686842,-122.2611793
45,Self-Service Facilities,Bancroft Library,refill,"(By floor):
<br><b>3 –</b> Fountain in the hallway: once you go up the stairs it is to the left and straight down, past the restrooms","(By floor):
3 – Fountain in the hallway: once you go up the stairs it is to the left and straight down, past the restrooms",300,,,37.8722923,-122.2588909
46,Self-Service Facilities,Bancroft Parking Structure,refill,"(By floor):
<br><b>1 –</b> Fountain by the tennis court staircase, behind trashcans","(By floor):
1 – Fountain by the tennis court staircase, behind trashcans",300,,,37.8696734,-122.2558612
47,Self-Service Facilities,Banway Building,refill,"(By floor):
<br><b>3 –</b> Fountain in hallway between the restrooms","(By floor):
3 – Fountain in hallway between the restrooms",300,,,37.8678929,-122.266897
48,Self-Service Facilities,Barker Hall,refill,"(By floor):
<br><b>G –</b> Fountain by room 2
<br><b>1 –</b> Fountain by room 100
<br><b>2 –</b> Fountain by room 202
<br><b>3 –</b> Motion-sensor filler/fountain by restroom (room 324)
<br><b>4 –</b> Fountain by restroom (room 404)
<br><b>5 –</b> Fountain by men’s restroom and across from lockers 
<br><b>6 –</b> Motion-sensor filler/fountain by women’s restroom and across from lockers ","(By floor):
G – Fountain by room 2
1 – Fountain by room 100
2 – Fountain by room 202
3 – Motion-sensor filler/fountain by restroom (room 324)
4 – Fountain by restroom (room 404)
5 – Fountain by men’s restroom and across from lockers 
6 – Motion-sensor filler/fountain by women’s restroom and across from lockers ",300,,,37.8739739,-122.2654445
49,Self-Service Facilities,Barrows Hall,refill,"(By floor):
<br><b>G –</b> Motion-sensor filler/fountain by elevators and across from room 44
<br><b>1 –</b> Flowater station by room 127 and motion-sensor filler/fountain by room 190
<br><b>2 –</b> Fountain by room 202
<br><b>3 –</b> Fountain by room 399
<br><b>4 –</b> Fountain by room 499
<br><b>5 –</b> Fountain by rooms 502 and 550
<br><b>6 –</b> Fountain by room 698
<br><b>7 –</b> Motion-sensor filler/fountain by room 798 and Fountain by room 748
<br><b>8 –</b> Fountain by room 812","(By floor):
G – Motion-sensor filler/fountain by elevators and across from room 44
1 – Flowater station by room 127 and motion-sensor filler/fountain by room 190
2 – Fountain by room 202
3 – Fountain by room 399
4 – Fountain by room 499
5 – Fountain by rooms 502 and 550
6 – Fountain by room 698
7 – Motion-sensor filler/fountain by room 798 and Fountain by room 748
8 – Fountain by room 812",300,,,37.870345,-122.2581044
50,Self-Service Facilities,Berkeley Geochronology Center,refill,"(By floor):
<br><b>1 –</b> Fountain by entrance of the building facing Berkeley Student Cooperative 
<br><b>3 –</b> Hot/cold water dispenser left to the elevator","(By floor):
1 – Fountain by entrance of the building facing Berkeley Student Cooperative 
3 – Hot/cold water dispenser left to the elevator",300,,,37.8762288,-122.2610907
51,Self-Service Facilities,Berkeley Way West,refill,"(By floor):
<br><b>1 –</b> Motion-sensor filler/fountain behind the elevator, by restroom
<br><b>3 –</b> Motion-sensor filler/fountain by restroom
<br><b>4 –</b> Motion-sensor filler by restroom
<br><b>5 –</b> Motion-sensor filler by restroom","(By floor):
1 – Motion-sensor filler/fountain behind the elevator, by restroom
3 – Motion-sensor filler/fountain by restroom
4 – Motion-sensor filler by restroom
5 – Motion-sensor filler by restroom",300,,,37.8733816,-122.2674919
52,Self-Service Facilities,Berkeley Wireless Research Institute,refill,"(By floor):
<br><b>2 –</b> Motion-sensor filler/fountain to the right of the stairs","(By floor):
2 – Motion-sensor filler/fountain to the right of the stairs",300,,,37.869197,-122.267441
53,Self-Service Facilities,Betchel Engineering Center,refill,"(By floor):
<br><b>1 –</b> Fountain outside library by men’s and women’s restrooms
<br><b>2 –</b> Push-button filler/fountain by men’s and women’s restroom","(By floor):
1 – Fountain outside library by men’s and women’s restrooms
2 – Push-button filler/fountain by men’s and women’s restroom",300,,,37.8741858,-122.258188
54,Self-Service Facilities,Birge Hall,refill,"(By floor):
<br><b>4 –</b> Fountain in hallway across from elevator","(By floor):
4 – Fountain in hallway across from elevator",300,,,37.8722322,-122.2571898
55,Self-Service Facilities,Blum Hall,refill,"(By floor):
<br><b>1 –</b> Motion-sensor filler by in the kitchen behind the refrigerator","(By floor):
1 – Motion-sensor filler by in the kitchen behind the refrigerator",300,,,37.8750255,-122.2588054
56,Self-Service Facilities,Boalt Hall,refill,"(By floor):
<br><b>G –</b> Fountain in alcove between locker walls
<br><b>1 –</b> Motion-sensor filler/fountain by Bridges Lecture Hall and fountain by Stuart M. Gordon Lecture Hall
<br><b>2 –</b> Fountain by room 263, in hallway near the staircases on the North Addition side
<br><b>3 –</b> Fountain by Gregory Faculty Lounge
<br><b>4 –</b> Push-button filler/fountain by Field Placement Program Office","(By floor):
G – Fountain in alcove between locker walls
1 – Motion-sensor filler/fountain by Bridges Lecture Hall and fountain by Stuart M. Gordon Lecture Hall
2 – Fountain by room 263, in hallway near the staircases on the North Addition side
3 – Fountain by Gregory Faculty Lounge
4 – Push-button filler/fountain by Field Placement Program Office",300,,,37.8694689,-122.254074
57,Self-Service Facilities,Botanical Garden,refill,"(By floor):
<br><b>1 –</b> Push-button filler/fountain by main entrance/garden shop and fountain by conference center","(By floor):
1 – Push-button filler/fountain by main entrance/garden shop and fountain by conference center",300,,,37.875145,-122.2387194
58,Self-Service Facilities,C.V. Starr East Asian Library,refill,"(By floor):
<br><b>3 –</b> Fountain by women's and men's restrooms, across from the elevator","(By floor):
3 – Fountain by women's and men's restrooms, across from the elevator",300,,,37.8735334,-122.260478
59,Self-Service Facilities,California Memorial Stadium,refill,"(By floor):
<br><b>L1 –</b> Fountain by men’s olympic sport lockers
<br><b>1 –</b> Push-button filler/fountain by restrooms, motion-sensor filler/fountain by gym, and fountain by restrooms 
<br><b>2 –</b> Fountains by rooms 321, 343, 353, 379, 383, Golden Dragon Concessions Stand, Oski's Cantina, guest services, stair #7, stair #10, and lactation room ","(By floor):
L1 – Fountain by men’s olympic sport lockers
1 – Push-button filler/fountain by restrooms, motion-sensor filler/fountain by gym, and fountain by restrooms 
2 – Fountains by rooms 321, 343, 353, 379, 383, Golden Dragon Concessions Stand, Oski's Cantina, guest services, stair #7, stair #10, and lactation room ",300,,,37.8706571,-122.2507783
60,Self-Service Facilities,Calvin Laboratory,refill,"(By floor):
<br><b>1 –</b> Motion-sensor filler/fountain by room 118","(By floor):
1 – Motion-sensor filler/fountain by room 118",300,,,37.8709966,-122.2538012
61,Self-Service Facilities,Campbell Hall,refill,"(By floor):
<br><b>1 –</b> Motion-sensor filler/fountain in hallway 
<br><b>2 –</b> Motion-sensor filler/fountain in hallway
<br><b>3 –</b> Motion-sensor filler/fountain in hallway
<br><b>4 –</b> Motion-sensor filler/fountain in hallway
<br><b>5 –</b> Motion-sensor filler/fountain in hallway","(By floor):
1 – Motion-sensor filler/fountain in hallway 
2 – Motion-sensor filler/fountain in hallway
3 – Motion-sensor filler/fountain in hallway
4 – Motion-sensor filler/fountain in hallway
5 – Motion-sensor filler/fountain in hallway",300,,,37.8731446,-122.2571084
62,Self-Service Facilities,Chavez Student Center,refill,"(By floor):
<br><b>1 –</b> Fountain in hallway across from the elevators
<br><b>2 –</b> Push-button filler/fountain in hallway by trash bins","(By floor):
1 – Fountain in hallway across from the elevators
2 – Push-button filler/fountain in hallway by trash bins",300,,,37.8697743,-122.2600361
63,Self-Service Facilities,Cheit Hall,refill,"(By floor):
<br><b>1 –</b> Gooseneck filler/fountain by C110
<br><b>2 –</b> Fountain by entrance from courtyard and motion-sensor filler/fountain by back corridor on second floor courtyard ","(By floor):
1 – Gooseneck filler/fountain by C110
2 – Fountain by entrance from courtyard and motion-sensor filler/fountain by back corridor on second floor courtyard ",300,,,37.8718177,-122.2542613
64,Self-Service Facilities,Chou Hall,refill,"(By floor):
<br><b>1 –</b> Push-button filler/fountain by entry
<br><b>2 –</b> Push-button filler/fountain by stairwell
<br><b>3 –</b> Push-button filler/fountain by stairwell
<br><b>4 –</b> Push-button filler/fountain by stairwell
<br><b>5 –</b> Push-button filler/fountain by stairwell
<br><b>6 –</b> Push-button filler/fountain by restrooms","(By floor):
1 – Push-button filler/fountain by entry
2 – Push-button filler/fountain by stairwell
3 – Push-button filler/fountain by stairwell
4 – Push-button filler/fountain by stairwell
5 – Push-button filler/fountain by stairwell
6 – Push-button filler/fountain by restrooms",300,,,37.8722997,-122.2545436
65,Self-Service Facilities,Christian Hall,refill,"(By floor):
<br><b>1 –</b> Fountain across from entrance, by restrooms","(By floor):
1 – Fountain across from entrance, by restrooms",300,,,37.8681223,-122.2550086
66,Self-Service Facilities,CITRIS,refill,"(By floor):
<br><b>3 –</b> Motion-sensor filler/fountain by room 356 ","(By floor):
3 – Motion-sensor filler/fountain by room 356 ",300,,,37.8747581,-122.2586623
67,Self-Service Facilities,Clark Kerr Campus Building 1,refill,"(By floor):
<br><b>1 –</b> Motion-sensor filler by room 113","(By floor):
1 – Motion-sensor filler by room 113",300,,,37.864236,-122.248935
68,Self-Service Facilities,Clark Kerr Campus Building 12,refill,"(By floor):
<br><b>1 –</b> Hot/cold water dispenser by main entrance ","(By floor):
1 – Hot/cold water dispenser by main entrance ",300,,,37.863235,-122.248955
69,Self-Service Facilities,Clark Kerr Campus Building 14,refill,"(By floor):
<br><b>1 –</b> Motion-sensor filler/fountain by room 102 and fountain by Joseph Wood Krutch Theatre lobby","(By floor):
1 – Motion-sensor filler/fountain by room 102 and fountain by Joseph Wood Krutch Theatre lobby",300,,,37.863576,-122.24989
70,Self-Service Facilities,Clark Kerr Campus Building 3,refill,"(By floor):
<br><b>1 –</b> Fountain by room 108
<br><b>2 –</b> Fountain in hall by room 207
<br><b>3 –</b> Fountain in hallway by room 307","(By floor):
1 – Fountain by room 108
2 – Fountain in hall by room 207
3 – Fountain in hallway by room 307",300,,,37.864948,-122.248951
71,Self-Service Facilities,Cleary Hall,refill,"(By floor):
<br><b>1 –</b> Fountain by restrooms, in hall floor lounge and push-button filler/fountain by entrance, near the elevator 
<br><b>2 –</b> Fountain by restroom, end of hall
<br><b>3 –</b> Fountain by restroom, end of hall
<br><b>4 –</b> Fountain by restroom, end of hall","(By floor):
1 – Fountain by restrooms, in hall floor lounge and push-button filler/fountain by entrance, near the elevator 
2 – Fountain by restroom, end of hall
3 – Fountain by restroom, end of hall
4 – Fountain by restroom, end of hall",300,,,37.8664643,-122.2594918
72,Self-Service Facilities,"Cory Hall, A/B-3",refill,"(By floor):
<br><b>1 –</b> Gooseneck filler/fountain facing the east side stairs across from room 149
<br><b>2 –</b> Fountains by Embedded Systems Design Laboratory, Chenming Hu Innovation Lab, Trust and Chess Center
<br><b>3 –</b> Fountain by bridge to Sutardja Dai Hall stairs
<br><b>4 –</b> Fountain by Qualcomm Swarm Lab
<br><b>5 –</b> Fountain by Donald O. Pederson Center","(By floor):
1 – Gooseneck filler/fountain facing the east side stairs across from room 149
2 – Fountains by Embedded Systems Design Laboratory, Chenming Hu Innovation Lab, Trust and Chess Center
3 – Fountain by bridge to Sutardja Dai Hall stairs
4 – Fountain by Qualcomm Swarm Lab
5 – Fountain by Donald O. Pederson Center",300,,,37.8751638,-122.2577979
73,Self-Service Facilities,David Blackwell Hall,refill,"(By floor):
<br><b>3 –</b> Motion-sensor filler by elevators
<br><b>4 –</b> Motion-sensor filler by elevators
<br><b>5 –</b> Motion-sensor filler by elevators
<br><b>6 –</b> Motion-sensor filler by elevators
<br><b>7 –</b> Motion-sensor filler by elevators
<br><b>8 –</b> Motion-sensor filler by elevators","(By floor):
3 – Motion-sensor filler by elevators
4 – Motion-sensor filler by elevators
5 – Motion-sensor filler by elevators
6 – Motion-sensor filler by elevators
7 – Motion-sensor filler by elevators
8 – Motion-sensor filler by elevators",300,,,37.8677582,-122.2610623
74,Self-Service Facilities,"Davis Hall, B-3/4",refill,"(By floor):
<br><b>3 –</b> Hot/cold water dispenser by southside doors, motion-sensor filler/fountain by north side elevators, and fountain by northside exit
<br><b>4 –</b> Fountain by elevators above northside entrance
<br><b>5 –</b> Motion-sensor filler/fountain by northside elevators and fountain by northside elevators
<br><b>6 –</b> Fountain by doors to Citrus Hall
<br><b>7 –</b> Fountain by northside elevators before glass doors","(By floor):
3 – Hot/cold water dispenser by southside doors, motion-sensor filler/fountain by north side elevators, and fountain by northside exit
4 – Fountain by elevators above northside entrance
5 – Motion-sensor filler/fountain by northside elevators and fountain by northside elevators
6 – Fountain by doors to Citrus Hall
7 – Fountain by northside elevators before glass doors",300,,,37.8745656,-122.2580841
75,Self-Service Facilities,Department of Demography,refill,"(By floor):
<br><b>1 –</b> Fountain in a small tight area near the stairs","(By floor):
1 – Fountain in a small tight area near the stairs",300,,,37.8707803,-122.2530479
76,Self-Service Facilities,Doe Memorial Library,refill,"(By floor):
<br><b>1 –</b> Gooseneck filler/fountain in hallway left of main entrance, and fountains by south entrance near elevator and by room 132
<br><b>2 –</b> Fountains by men’s and women's restrooms
<br><b>3 –</b> Fountain by Art History/Classics Library
<br><b>4 –</b> Fountains by elevator and room 423 ","(By floor):
1 – Gooseneck filler/fountain in hallway left of main entrance, and fountains by south entrance near elevator and by room 132
2 – Fountains by men’s and women's restrooms
3 – Fountain by Art History/Classics Library
4 – Fountains by elevator and room 423 ",300,,,37.8721832,-122.2595929
77,Self-Service Facilities,Donner Lab,refill,"(By floor):
<br><b>1 –</b> Fountains by room 107, room 155
<br><b>2 –</b> Fountain by room 260
<br><b>3 –</b> Fountains by room 315A, room 358","(By floor):
1 – Fountains by room 107, room 155
2 – Fountain by room 260
3 – Fountains by room 315A, room 358",300,,,37.8744177,-122.256305
78,Self-Service Facilities,Durant Hall,refill,"(By floor):
<br><b>G –</b> Fountain by restrooms","(By floor):
G – Fountain by restrooms",300,,,37.8712498,-122.2600955
79,Self-Service Facilities,Dwinelle Annex,refill,"(By floor):
<br><b>1 –</b> Fountain im hallway
<br><b>2 –</b> Gooseneck filler/fountain right up the stairs","(By floor):
1 – Fountain im hallway
2 – Gooseneck filler/fountain right up the stairs",300,,,37.8703395,-122.2612068
80,Self-Service Facilities,Dwinelle Hall,refill,"(By floor):
<br><b>A –</b> Fountain by women's restroom
<br><b>B –</b> Gooseneck filler/fountain by men's restroom and fountain by Office of Undergraduate Research and Scholarships
<br><b>C –</b> Motion-sensor filler/fountain by Theater, Dance, and Performance Studies office, gooseneck filler/fountain by History office, and fountain by men's restroom
<br><b>D –</b> Gooseneck filler/fountains by French and Comparative Literature offices and women's restrooom, motion-sensor filler/fountain left of main entrance
<br><b>E –</b> Fountains right as you climb the main stairs from D, in hallway, and by offices near men's restroom, and gooseneck filler/fountain by offices in hallway
<br><b>F –</b> Fountains in hallway by offices, behind double doors, at the classroom wing entrance, and at end of classroom wing hall
<br><b>G –</b> Fountain by women's restroom","(By floor):
A – Fountain by women's restroom
B – Gooseneck filler/fountain by men's restroom and fountain by Office of Undergraduate Research and Scholarships
C – Motion-sensor filler/fountain by Theater, Dance, and Performance Studies office, gooseneck filler/fountain by History office, and fountain by men's restroom
D – Gooseneck filler/fountains by French and Comparative Literature offices and women's restrooom, motion-sensor filler/fountain left of main entrance
E – Fountains right as you climb the main stairs from D, in hallway, and by offices near men's restroom, and gooseneck filler/fountain by offices in hallway
F – Fountains in hallway by offices, behind double doors, at the classroom wing entrance, and at end of classroom wing hall
G – Fountain by women's restroom",300,,,37.8705318,-122.2606042
81,Self-Service Facilities,Eshleman Hall,refill,"(By floor):
<br><b>1 –</b> Push-button filler/fountain by room 32
<br><b>2 –</b> Push-button filler/fountain by elevator
<br><b>3 –</b> Push-button filler/fountain by elevator
<br><b>4 –</b> Push-button filler/fountain by elevator
<br><b>5 –</b> Push-button filler/fountain by elevators
<br><b>6 –</b> Push-button filler/fountain by elevators","(By floor):
1 – Push-button filler/fountain by room 32
2 – Push-button filler/fountain by elevator
3 – Push-button filler/fountain by elevator
4 – Push-button filler/fountain by elevator
5 – Push-button filler/fountain by elevators
6 – Push-button filler/fountain by elevators",300,,,37.8687398,-122.2603875
82,Self-Service Facilities,Etcheverry Hall,refill,"(By floor):
<br><b>1 –</b> Fountain by room 3105
<br><b>4 –</b> Motion-sensor filler/fountains by north elevator, outside of south elevator, and by Nuclear Engineering office
<br><b>5 –</b> Fountains by north Elevator and south elevator
<br><b>6 –</b> Motion-sensor filler/fountains by south elevator, north elevator, and Mechanical Engineering office","(By floor):
1 – Fountain by room 3105
4 – Motion-sensor filler/fountains by north elevator, outside of south elevator, and by Nuclear Engineering office
5 – Fountains by north Elevator and south elevator
6 – Motion-sensor filler/fountains by south elevator, north elevator, and Mechanical Engineering office",300,,,37.8756626,-122.2592805
83,Self-Service Facilities,Evans Hall,refill,"(By floor):
<br><b>G –</b> Fountains by rooms 35, 72, and 85 and motion-sensor filler/fountain by room 2
<br><b>2 –</b> Fountains by rooms 235, and 291, and Letters and Science undergraduate advising desk
<br><b>3 –</b> Fountains by central elevators and rooms 335 and 389
<br><b>4 –</b> Fountains by central elevators and rooms 435 and 491
<br><b>5 –</b> Fountains by central restrooms and rooms 535 and 591
<br><b>6 –</b> Fountains by central restrooms and rooms 691A and 631
<br><b>7 –</b> Fountains by central restrooms and rooms 735 and 794
<br><b>8 –</b> Fountains by central restrooms and rooms 835 and 893
<br><b>9 –</b> Fountains by central restrooms and rooms 989 and 935
<br><b>10 –</b> Fountains by central restrooms and room 1037","(By floor):
G – Fountains by rooms 35, 72, and 85 and motion-sensor filler/fountain by room 2
2 – Fountains by rooms 235, and 291, and Letters and Science undergraduate advising desk
3 – Fountains by central elevators and rooms 335 and 389
4 – Fountains by central elevators and rooms 435 and 491
5 – Fountains by central restrooms and rooms 535 and 591
6 – Fountains by central restrooms and rooms 691A and 631
7 – Fountains by central restrooms and rooms 735 and 794
8 – Fountains by central restrooms and rooms 835 and 893
9 – Fountains by central restrooms and rooms 989 and 935
10 – Fountains by central restrooms and room 1037",300,,,37.8736847,-122.2578536
84,Self-Service Facilities,Fall Program for Freshmen,refill,"(By floor):
<br><b>1 –</b> Fountain by elevator
<br><b>2 –</b> Fountain across from lockers
<br><b>3 –</b> Hot/cold water dispenser in main hallway across from the vending machines","(By floor):
1 – Fountain by elevator
2 – Fountain across from lockers
3 – Hot/cold water dispenser in main hallway across from the vending machines",300,,,37.871937,-122.27163
85,Self-Service Facilities,Genetics and Plant Biology,refill,"(By floor):
<br><b>2 –</b> Fountain down the hall from the elevator and gooseneck filler/fountain by elevator ","(By floor):
2 – Fountain down the hall from the elevator and gooseneck filler/fountain by elevator ",300,,,37.8734357,-122.2647492
86,Self-Service Facilities,Giauque Hall,refill,"(By floor):
<br><b>B –</b> Fountain by entrance","(By floor):
B – Fountain by entrance",300,,,37.8726546,-122.2563024
87,Self-Service Facilities,Gilman Hall,refill,"(By floor):
<br><b>1 –</b> Motion-sensor filler/fountain by restrooms
<br><b>2 –</b> Fountain by staircase","(By floor):
1 – Motion-sensor filler/fountain by restrooms
2 – Fountain by staircase",300,,,37.8726066,-122.2562309
88,Self-Service Facilities,Goldman School of Public Policy,refill,"(By floor):
<br><b>B –</b> Fountain by entrance to the bottom floor
<br><b>1 –</b> Motion-sensor filler/fountain by front entrance ","(By floor):
B – Fountain by entrance to the bottom floor
1 – Motion-sensor filler/fountain by front entrance ",300,,,37.8757268,-122.2578583
