name,category,tag,address,description,by_appointment,email,latitude,longitude,on_campus,Cal1Card_Accepted,EatWell_Accepted,Average_Meal,phone,sunday_hours,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours
"Nutrition, Cooking, Budgeting Workshops and Demos",Campus Resource,Basic Needs,MLK Student Union Bnorth and various other locations on campus,"Roll up your sleeves for hands-on, interactive cooking classes highlighting student-friendly food skills, tips, and recipes.",no,https://uhs.berkeley.edu/counseling/sos/nutrition/events,37.86771,-122.264297,Yes,,,,,,,,,,,
Personal Food Security and Wellness NST 20,Campus Resource,Basic Needs,Morgan Hall,"This course addresses attitudes, knowledge, skills and barriers in food selection, purchasing and preparation and their intersection with food security.",no,http://guide.berkeley.edu/courses/nusctx/,37.873338,-122.26419,Yes,,,,,,,,,,,
Student Parent Association SPARR Food Donations Progam,Campus Resource,Basic Needs,100 Cesar Chavez Student Center,Student Parent Association for Recruitment and Retention ,no,https://www.facebook.com/fooddonationsprogram/,37.86958,-122.260313,Yes,,,,,,,,,,,
UC Berkeley Food Pantry,Campus Resource,Basic Needs,MLK Student Union Bnorth Suite 68,"The Food Pantry was established to help students in need of emergency food assistance, in collaboration with Campus Catering Food Recovery and Gleaning programs.",no,http://pantry.berkeley.edu/,37.869211,-122.259598,Yes,,,,,,,,,,,
University Village Bear Pantry & Diaper Bank,Campus Resource,Basic Needs,"1123 Jackson St, Albany, CA 94706",The Bear Pantry has been a resource for food and diapers for families and student parents at the University Village. The Student Parent Center is collaborating with the University Village Rec Program to provide food resources to residents and families in need at University Village Albany. Apply here: http://tiny.cc/r0f8mz,no,https://www.thebearpantryatberkeley.org/,37.883825,-122.299395,No,,,,,,,,,,,
Graduate Assembly Wellness Office,Map Marker,Mental Health,Graduate Assembly Wellness Office,444D Eshelman Hall,No,businessoffice@ga.berkeley.edu,,,Yes,,,,510-642-2175,Closed,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,Closed
Haas School of Business,Map Marker,Mental Health,Haas School of Business,"Haas, Room F408
Haas students only, 510 642-4853",Yes,dcapone@berkeley.edu,37.871465,-122.253445,Yes,,,,510-642-4853,Closed,Closed,8am-5pm,8am-5pm,8am-5pm,Closed,Closed
Wurster Hall,Map Marker,Mental Health,Wurster Hall,"Room 220
All students, 510 642-6633",No,du@berkeley.edu,37.870735,-122.254893,Yes,,,,510 643-5738,Closed,Closed,Closed,Closed,1:15pm-3pm,Closed,Closed
Hildebrand Hall,Map Marker,Mental Health,Hildebrand Hall,"Room B52
CoC students only, 510 664-7723",No,Not Available,37.872536,-122.255726,Yes,,,,510 664-7723,Closed,Closed,2pm-4pm,Closed,Closed,10am-12pm,Closed
Bechtel Engineering Center,Map Marker,Mental Health,Bechtel Engineering Center,"Room 241
Engineering students",No,Not Available,37.874026,-122.258391,Yes,,,,510 643-7850,Closed,Closed,2pm-4pm,Closed,Closed,Closed,Closed
Cesar E. Chavez Student Center,Map Marker,Mental Health,Cesar E. Chavez Student Center,"Room 150
All UC Berkeley students, 510 643-5738",No,Not Available,37.869774,-122.260036,Yes,,,,510 642-9494,Closed,11am-5pm,"1-2pm, 3pm-5pm",2pm-4pm,2pm-6pm,Closed,Closed
Anna Head Alumnae Hall,Map Marker,Mental Health,Anna Head Alumnae Hall,"Building E
All UC Berkeley students, 510 642-9494",Yes,Not Available,37.8663273,-122.259784,Yes,,,,510 642-9494,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,Closed
Boalt Law School,Map Marker,Mental Health,Boalt Law School,"Law students only, 510 643-5447",Yes,ctchang@berkeley.ed,37.869909,-122.2550077,Yes,,,,510 642-9494,10am-4pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm
Tang Urgent Counseling,Map Marker,Mental Health,Tang Urgent Counseling,"Floor 3
All UC Berkeley students",No,Not Available,37.8676679,-122.2664745,No,,,,510 642-3188,Closed,8am-6pm,8am-6pm,8am-6pm,8am-6pm,8am-6pm,10am-4pm
Tang Center Massage Chairs,Map Marker,Rest,Tang Center,2 Massage Chairs,No,Not Available,37.867668,-122.264286,No,,,,,Closed,"8am-12pm, 2pm-5pm",Closed,8am-5pm,9am-12pm,9am-12pm,Closed
RSF Massage Chairs,Map Marker,Rest,RSF,3 Massage Chairs,No,Not Available,37.868552,-122.262814,No,,,,,Closed,Closed,8am-5pm,8am-5pm,8am-5pm,Closed,Closed
Moffitt Library Nap Pods,Map Marker,Rest,Moffitt Library 5th Floor,"2 Nap Pods, many sleep chairs",No,Not Available,37.872574,-122.260748,Yes,,,,,Closed,12pm-2pm,8am-12pm,Closed,ClosedÂ ,Closed,ClosedÂ 
Wurster Library Rest Zone,Map Marker,Rest,Wurster Library,REST Zone,No,Not Available,37.870735,-122.254893,Yes,,,,,Closed,Closed,2pm-4pm,Closed,ClosedÂ ,10am-12pm,ClosedÂ 
Kresge Library Nap Pod,Map Marker,Rest,Kresge Library First Floor,Sleep Chairs,No,Not Available,37.874062,-122.258305,Yes,,,,,Closed,Closed,2pm-4pm,10am-12pm,ClosedÂ ,ClosedÂ ,ClosedÂ 
Tolman Hall Nap Pod,Map Marker,Rest,Tolman Hall Tech Lounge,Sleep Chairs,No,Not Available,37.874104,-122.263891,Yes,,,,,Closed,12pm-5pm,11am-6:30pm,"11am-1pm, 2pm-4pm","10:30am-1:30pm, 2pm-6pm","10am-12pm, 3pm-5pm",ClosedÂ 
University Village Massage Chairs,Map Marker,Rest,University Village,2 Massage Chairs,No,Not Available,37.884926,-122.301081,No,,,,,Appointment by phone,Appointment by phone,Appointment by phone,Appointment by phone,Appointment by phone,Appointment by phone,Appointment by phone
College of Chemistry Massage Chairs,Map Marker,Rest,College of Chemistry,2 Massage Chairs,No,Not Available,37.873109,-122.256028,Yes,,,,,Closed,8am-5pm,Closed,8am-5pm,Closed,8am-5pm,Closed
Printer 1,Map Marker,Printer,Kroeber HallÂ ,,No,Not Available,37.869853,-122.255152,Yes,,,,,Closed,10am-5pm,10am-5pm,10am-5pm,10am-5pm,10am-5pm,Closed
Printer 2,Map Marker,Printer,"Bioscience, Natural Resource & Public Health Library, VLSB",,No,Not Available,37.871608,-122.261804,Yes,,,,,1pm-10pm,9am-10pm,9am-10pm,9am-10pm,9am-10pm,9am-5pm,1pm-5pm
Printer 3,Map Marker,Printer,Haas Library,,No,Not Available,37.871465,-122.253445,Yes,,,,,12pm-8pm,9am-10pm,9am-10pm,9am-10pm,9am-10pm,9am-5pm,12pm-5pm
Printer 4,Map Marker,Printer,Hildebrand Hall,,No,Not Available,37.872536,-122.255726,Yes,,,,,1pm-5pm,9am-7pm,9am-7pm,9am-7pm,9am-7pm,9am-5pm,1pm-5pm
Printer 5,Map Marker,Printer,Doe Memorial Library,"Floor 2, Main Circulation",No,Not Available,37.872183,-122.259593,Yes,,,,,1pm-9pm,8am-9pm,8am-9pm,8am-9pm,8am-9pm,8am-9pm,9am-5pm
Printer 6,Map Marker,Printer,East Asian Library,,No,Not Available,37.8711945,-122.2627524,Yes,,,,,12pm-8pm,9am-10pm,9am-10pm,9am-10pm,9am-10pm,9am-5pm,10am-5pm
Printer 7,Map Marker,Printer,"Earth Sciences & Map Library, McCone Hall",,No,Not Available,37.8691029,-122.2599461,Yes,,,,,Closed,9am-7pm,9am-7pm,9am-7pm,9am-7pm,9am-5pm,Closed
Printer 8,Map Marker,Printer,Bechtel Engineering Center,,No,Not Available,37.874026,-122.258391,Yes,,,,,1pm-11pm,9am-12am,9am-12am,9am-12am,9am-12am,9am-7pm,1pm-7pm
Printer 9,Map Marker,Printer,"Environmental Design Library, Wurster Hall",,No,Not Available,37.870735,-122.254893,Yes,,,,,11am-10pm,9am-10pm,9am-10pm,9am-10pm,9am-10pm,9am-5pm,1pm-6pm
Printer 10,Map Marker,Printer,"Ethnic Studies Library, Stephens Hall",,No,Not Available,37.871361,-122.257592,Yes,,,,,Closed,9am-5pm,9am-5pm,9am-5pm,9am-5pm,9am-5pm,11am-5pm
Printer 11,Map Marker,Printer,"Institute of Governmental Studies, Moses Hall",,No,Not Available,37.870999,-122.257992,Yes,,,,,Closed,1pm-5pm,1pm-5pm,1pm-5pm,1pm-5pm,1pm-5pm,Closed
Printer 12,Map Marker,Printer,"Math Library, Evans Hall",,No,Not Available,37.873685,-122.257854,Yes,,,,,Closed,9am-7pm,9am-7pm,9am-7pm,9am-7pm,9am-5pm,Closed
Printer 13,Map Marker,Printer,Moffitt Library,Floors 3-5,No,Not Available,37.872574,-122.260748,Yes,,,,,9am-12am,12am-12am,12am-12am,12am-12am,12am-12am,12am-10pm,9am-10pm
Printer 14,Map Marker,Printer,Hargrove Music Library,,No,Not Available,37.870444,-122.256187,Yes,,,,,1pm-8pm,9am-8am,9am-8am,9am-8am,9am-8am,9am-5pm,1pm-5pm
Printer 15,Map Marker,Printer,"Optometry Library, Minor Hall",,No,Not Available,37.8691029,-122.2599461,Yes,,,,,1pm-4pm,9am-7pm,9am-7pm,9am-7pm,9am-7pm,9am-5pm,1pm-4pm
Printer 16,Map Marker,Printer,"Physics Library, Le Conte Hall",,No,Not Available,37.872663,-122.257526,Yes,,,,,Closed,9am-7pm,9am-7pm,9am-7pm,9am-7pm,9am-5pm,Closed
Printer 17,Map Marker,Printer,"Social Research Library, Haviland Hall",,No,Not Available,37.873712,-122.261048,Yes,,,,,1pm-5pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-5pm,Closed
Printer 18,Map Marker,Printer,Sproul Hall,,No,Not Available,37.869565,-122.258786,Yes,,,,,Closed,9am-4pm,9am-4pm,9am-4pm,9am-4pm,9am-4pm,Closed
Lyft Bike @ Hearst Ave at Euclid Ave,Map Marker,Lyft Bike,Hearst Ave at Euclid Ave,,No,Not Available,37.87508,-122.26014,No,,,,,,,,,,,
Lyft Bike @ Shattuck Ave at Hearst Ave,Map Marker,Lyft Bike,Shattuck Ave at Hearst Ave,,No,Not Available,37.87388,-122.26852,No,,,,,,,,,,,
Lyft Bike @ University Ave at Oxford St,Map Marker,Lyft Bike,University Ave at Oxford St,,No,Not Available,37.87247,-122.26616,No,,,,,,,,,,,
Lyft Bike @ MLK Jr Way at University Ave,Map Marker,Lyft Bike,MLK Jr Way at University Ave,,No,Not Available,37.8716,-122.27302,No,,,,,,,,,,,
Lyft Bike @ Berkeley Civic Center,Map Marker,Lyft Bike,Berkeley Civic Center,,No,Not Available,37.86906,-122.27046,No,,,,,,,,,,,
Lyft Bike @ Downtown Berkeley BART,Map Marker,Lyft Bike,Downtown Berkeley BART,,No,Not Available,37.8692,-122.26931,No,,,,,,,,,,,
Lyft Bike @ Channing Way at Shattuck Ave,Map Marker,Lyft Bike,Channing Way at Shattuck Ave,,No,Not Available,37.86577,-122.26764,No,,,,,,,,,,,
Lyft Bike @ Fulton St at Bancroft Way,Map Marker,Lyft Bike,Fulton St at Bancroft Way,,No,Not Available,37.86782,-122.266,No,,,,,,,,,,,
Lyft Bike @ Haste St at Telegraph Ave,Map Marker,Lyft Bike,Haste St at Telegraph Ave,,No,Not Available,37.86603,-122.25862,No,,,,,,,,,,,
Lyft Bike @ Haste St at College Ave,Map Marker,Lyft Bike,Haste St at College Ave,,No,Not Available,37.86657,-122.25408,No,,,,,,,,,,,
Lyft Bike @ Bancroft Way at Telegraph Ave,Map Marker,Lyft Bike,Bancroft Way at Telegraph Ave,,No,Not Available,37.86871,-122.25919,No,,,,,,,,,,,
Lyft Bike @ Bancroft Way at College Ave,Map Marker,Lyft Bike,Bancroft Way at College Ave,,No,Not Available,37.86928,-122.25456,No,,,,,,,,,,,
Campus Shared Services Lactation Room,Map Marker,Lactation,,,No,Not Available,37.873235,-122.30227,Yes,,,,,,,,,,,
Berkeley Way West,Map Marker,Lactation,,"Lactation rooms are located on the 5th, 4th, and 3rd floors. To request access to the 5th floor room, contact the Building Manager at agarcia@ngkf.com",No,Not Available,37.873355,-122.26799,Yes,,,,,,,,,,,
Birge Hall Lactation Room,Map Marker,Lactation,,,No,Not Available,37.872165,-122.257341,Yes,,,,,,,,,,,
California Hall Lactation Room,Map Marker,Lactation,,See building manager for access,No,Not Available,37.871901,-122.260359,Yes,,,,,,,,,,,
Cheit Hall at Haas Lactation Room,Map Marker,Lactation,,,No,Not Available,37.8718,-122.2543,Yes,,,,,,,,,,,
Dwinelle Hall Lactation Room,Map Marker,Lactation,,,No,Not Available,37.87044,-122.260431,Yes,,,,,,,,,,,
Energy Biosciences Building Lactation Room,Map Marker,Lactation,,"For access to the lactation room, please contact Kristy Nordahl at knordahl@berkeley.edu or 510 664-7110",No,Not Available,37.873828,-122.266938,Yes,,,,,,,,,,,
Eshleman Hall Lactation Room,Map Marker,Lactation,,,No,Not Available,37.868722,-122.260761,Yes,,,,,,,,,,,
Evans Hall Lactation Room,Map Marker,Lactation,,,No,Not Available,37.873761,-122.257867,Yes,,,,,,,,,,,
Giannini Hall Lactation Room,Map Marker,Lactation,,,No,Not Available,37.873528,-122.262311,Yes,,,,,,,,,,,
Haas School of Business Lactation Room,Map Marker,Lactation,,,No,Not Available,37.871466,-122.25373,Yes,,,,,,,,,,,
Li Ka Shing Center Lactation Room,Map Marker,Lactation,,See building manager for access: lks_help@berkeley.edu or visit building management in 171 Li Ka Shing Center,No,Not Available,37.873168,-122.265225,Yes,,,,,,,,,,,
Life Sciences Addition Lactation Room,Map Marker,Lactation,,"See building manager for access: Barbara Duncan, bduncan@berkeley.edu or 510 643-8121",No,Not Available,37.871615,-122.263352,Yes,,,,,,,,,,,
Moffitt Library Lactation Room,Map Marker,Lactation,,,No,Not Available,37.872493,-122.260673,Yes,,,,,,,,,,,
Residential Student Services Building Lactation Room,Map Marker,Lactation,,See building manager for access,No,Not Available,37.867044,-122.255722,Yes,,,,,,,,,,,
Simon Hall Lactation Room,Map Marker,Lactation,,,No,Not Available,37.869857,-122.252633,Yes,,,,,,,,,,,
Stanley Hall Lactation Room,Map Marker,Lactation,,"See building manager for access: Geoff Bingaman, gbingaman@berkeley.edu or 510 666-3306",No,Not Available,37.874108,-122.256191,Yes,,,,,,,,,,,
Tang Center Lactation Room,Map Marker,Lactation,,,No,Not Available,37.867649,-122.264661,No,,,,,,,,,,,
UC Berkeley Extension Lactation Room,Map Marker,Lactation,,See building manager for access,No,Not Available,37.872015,-122.271301,Yes,,,,,,,,,,,
University Hall Lactation Room,Map Marker,Lactation,,,No,Not Available,37.871906,-122.266304,Yes,,,,,,,,,,,
Valley Life Sciences Building Lactation Room,Map Marker,Lactation,,"See building manager for access: Igor Kligman, ikligman@berkeley.edu or 510 333-9523",No,Not Available,37.871354,-122.262628,Yes,,,,,,,,,,,
Warren Hall Lactation Room,Map Marker,Lactation,,,No,Not Available,37.874395,-122.266994,Yes,,,,,,,,,,,
Wheeler Hall,Map Marker,Lactation,,,No,Not Available,37.871401,-122.259085,Yes,,,,,,,,,,,
Common Grounds Microwave,Map Marker,Microwave,,Top floor of Dwinelle Hall,No,Not Available,37.8706313,-122.2607799,Yes,,,,,,,,,,,
Cory Hall Microwave,Map Marker,Microwave,,In TeaOne Cafe,No,Not Available,37.875139,-122.257422,Yes,,,,,,,,,,,
Davis Hall Microwave,Map Marker,Microwave,,In room 602,No,Not Available,37.8746332,-122.2581178,Yes,,,,,,,,,,,
Foothill Student Housing 6 Microwave,Map Marker,Microwave,,In dining hall TV room,No,Not Available,37.8753488,-122.2549742,Yes,,,,,,,,,,,
Golden Bear Cafe Microwave,Map Marker,Microwave,,Inside Golden Bear Cafe,No,Not Available,37.869847,-122.259739,Yes,,,,,,,,,,,
Haas School of Business Microwave,Map Marker,Microwave,,In room F371,No,Not Available,37.8716225,-122.2535004,Yes,,,,,,,,,,,
Le Conte Hall Microwaves,Map Marker,Microwave,,In lounge/break area next to room 402,No,Not Available,37.872817,-122.257466,Yes,,,,,,,,,,,
Soda Hall Microwave,Map Marker,Microwave,,"In room 311 CSUA Computer Science Undergraduate Association, room 562 Cafe Diem, room 678 kitchen, and room 728 kitchen",No,Not Available,37.8756495,-122.2586918,Yes,,,,,,,,,,,
Basic Needs Center Microwave,Map Marker,Microwave,,"Basement of MLK Jr. Student Union bNorth, in kitchen. Need Cal1 ID",No,Not Available,37.8692299,-122.2596788,Yes,,,,,,,,,,,
Terrace Cafe Microwave,Map Marker,Microwave,,Inside Terrace Cafe,No,Not Available,37.874203,-122.25842,Yes,,,,,,,,,,,
The Pro Shop Microwave,Map Marker,Microwave,,Inside the Pro Shop at Recreational Sports Facility,No,Not Available,37.868745,-122.2626574,Yes,,,,,,,,,,,
Transfer Center Microwave,Map Marker,Microwave,,Next to Cal 1 Card Office,No,Not Available,37.8696978,-122.2602582,Yes,,,,,,,,,,,
Valley Life Sciences Building Microwave,Map Marker,Microwave,,In Micro Yali's cafe; pay 50 cents to use,No,Not Available,37.871513,-122.261768,Yes,,,,,,,,,,,
Station @ Center for the Study of Law and Society,Map Marker,Water,,"By floor:
1 Brita water dispenser by the kitchen, between fridge and sink",No,Not Available,37.870349,-122.252811,Yes,,,,,,,,,,,
Station @ 2515 Channing Way Academic Achievement Program,Map Marker,Water,,"By floor:
1 Motion-sensor filler/fountain in lobby area",No,Not Available,37.8718992,-122.2585399,No,,,,,,,,,,,
Station @ 2521 Channing Way,Map Marker,Water,,"By floor:
1 Gooseneck filter and sink by the hallway underneath the spiral staircase to the kitchen",No,Not Available,37.8672348,-122.2578788,No,,,,,,,,,,,
Station @ Alumni House,Map Marker,Water,,"By floor:
1 Fountain to the right of entrance ",No,Not Available,37.8696964,-122.2611015,No,,,,,,,,,,,
Station @ Andersen Auditorium,Map Marker,Water,,"By floor:
1 Gooseneck filler/fountain directly to the right of the auditorium doors that face the center Haas courtyard",No,Not Available,37.8721306,-122.2538182,Yes,,,,,,,,,,,
Station @ Archaeological Research Facility,Map Marker,Water,,"By floor:
2 Hot/cold water dispenser inside room 201, by the door",No,Not Available,37.8701625,-122.253912,No,,,,,,,,,,,
Station @ Architects and Engineers,Map Marker,Water,,"By floor:
1 Fountain to the left of the entrance in the hallway",No,Not Available,37.8736168,-122.2688665,Yes,,,,,,,,,,,
Station @ Bancroft Dance Studio,Map Marker,Water,,"By floor:
1 Fountain just inside entrance",No,Not Available,37.8686842,-122.2611793,Yes,,,,,,,,,,,
Station @ Bancroft Library,Map Marker,Water,,"By floor:
3 Fountain in the hallway: once you go up the stairs it is to the left and straight down, past the restrooms",No,Not Available,37.8722923,-122.2588909,Yes,,,,,,,,,,,
Station @ Bancroft Parking Structure,Map Marker,Water,,"By floor:
1 Fountain by the tennis court staircase, behind trashcans",No,Not Available,37.8696734,-122.2558612,Yes,,,,,,,,,,,
Station @ Banway Building,Map Marker,Water,,"By floor:
3 Fountain in hallway between the restrooms",No,Not Available,37.8678929,-122.266897,Yes,,,,,,,,,,,
Station @ Barker Hall,Map Marker,Water,,"By floor:
G Fountain by room 2
1 Fountain by room 100
2 Fountain by room 202
3 Motion-sensor filler/fountain by restroom room 324
4 Fountain by restroom room 404
5 Fountain by menâ restroom and across from lockers 
6 Motion-sensor filler/fountain by womenâ restroom and across from lockers ",No,Not Available,37.8739739,-122.2654445,Yes,,,,,,,,,,,
Station @ Barrows Hall,Map Marker,Water,,"By floor:
G Motion-sensor filler/fountain by elevators and across from room 44
1 Flowater station by room 127 and motion-sensor filler/fountain by room 190
2 Fountain by room 202
3 Fountain by room 399
4 Fountain by room 499
5 Fountain by rooms 502 and 550
6 Fountain by room 698
7 Motion-sensor filler/fountain by room 798 and Fountain by room 748
8 Fountain by room 812",No,Not Available,37.870345,-122.2581044,Yes,,,,,,,,,,,
Station @ Berkeley Geochronology Center,Map Marker,Water,,"By floor:
1 Fountain by entrance of the building facing Berkeley Student Cooperative 
3 Hot/cold water dispenser left to the elevator",No,Not Available,37.8762288,-122.2610907,Yes,,,,,,,,,,,
Station @ Berkeley Way West,Map Marker,Water,,"By floor:
1 Motion-sensor filler/fountain behind the elevator, by restroom
3 Motion-sensor filler/fountain by restroom
4 Motion-sensor filler by restroom
5 Motion-sensor filler by restroom",No,Not Available,37.8733816,-122.2674919,Yes,,,,,,,,,,,
Station @ Berkeley Wireless Research Institute,Map Marker,Water,,"By floor:
2 Motion-sensor filler/fountain to the right of the stairs",No,Not Available,37.869197,-122.267441,Yes,,,,,,,,,,,
Station @ Betchel Engineering Center,Map Marker,Water,,"By floor:
1 Fountain outside library by menâ and womenâ restrooms
2 Push-button filler/fountain by menâ and womenâ restroom",No,Not Available,37.8741858,-122.258188,Yes,,,,,,,,,,,
Station @ Birge Hall,Map Marker,Water,,"By floor:
4 Fountain in hallway across from elevator",No,Not Available,37.8722322,-122.2571898,Yes,,,,,,,,,,,
Station @ Blum Hall,Map Marker,Water,,"By floor:
1 Motion-sensor filler by in the kitchen behind the refrigerator",No,Not Available,37.8750255,-122.2588054,Yes,,,,,,,,,,,
Station @ Boalt Hall,Map Marker,Water,,"By floor:
G Fountain in alcove between locker walls
1 Motion-sensor filler/fountain by Bridges Lecture Hall and fountain by Stuart M. Gordon Lecture Hall
2 Fountain by room 263, in hallway near the staircases on the North Addition side
3 Fountain by Gregory Faculty Lounge
4 Push-button filler/fountain by Field Placement Program Office",No,Not Available,37.8694689,-122.254074,Yes,,,,,,,,,,,
Station @ Botanical Garden,Map Marker,Water,,"By floor:
1 Push-button filler/fountain by main entrance/garden shop and fountain by conference center",No,Not Available,37.875145,-122.2387194,Yes,,,,,,,,,,,
Station @ C.V. Starr East Asian Library,Map Marker,Water,,"By floor:
3 Fountain by women's and men's restrooms, across from the elevator",No,Not Available,37.8735334,-122.260478,Yes,,,,,,,,,,,
